"filename", "language", "TypeScript", "Markdown", "JSON", "XML", "JavaScript", "JSON with Comments", "Docker", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\lib\supabase\admin.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\lib\supabase\client.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\lib\supabase\middleware.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 17, 8, 65
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\lib\supabase\server.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 3, 2, 29
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\lib\utils.ts", "TypeScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 7, 16, 105
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\lib\validation\schema.ts", "TypeScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 65
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\middleware.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 33, 9, 52
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\next.config.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 3, 3, 20
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\package-lock.json", "JSON", 0, 0, 9014, 0, 0, 0, 0, 0, 0, 0, 1, 9015
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\package.json", "JSON", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 1, 71
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\postcss.config.mjs", "JavaScript", 0, 0, 0, 0, 4, 0, 0, 0, 0, 0, 2, 6
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\public\landscape-placeholder.svg", "XML", 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 0, 5
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\tsconfig.json", "JSON with Comments", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 1, 36
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\types\adminTable.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\types\attendance.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\Daare\OneDrive\Desktop\pantau-magang\types\dashboard.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15
"Total", "-", 1420, 23, 9105, 5, 21, 35, 16, 8614, 198, 601, 1300, 21338
